Transaction_ID,Order Date,Delivery Date,Product ID,Product Name,Category,Warehouse,Region,Supplier ID,Supplier Name,Forecast Qty,Actual Demand Qty,Inventory On Hand,Reorder Point,Unit Cost,Lead Time Days,TransportationMode,SalesAmount,CustomerSegment,ForecastVersion
T00017,2024-02-29,30/03/2024,P1004,Headphones,Electronics,Berlin WH,north america,S02,Supplier B,599,543,538,193,850.69,25,Air,757407.27,Retail,V3
T00018,2025-05-01,2025-05-26,P1009,Keyboard,Electronics,Hamburg WH,N. America,S03,Supplier C,877,904,469,285,57.62,18,Road,61231.26,Retail,V3
T00019,15/11/2024,2024-12-21,P1007,Chair,Furniture,Hamburg WH,North America,S06,Supplier F,842,910,625,374,772.68,30,Air,1220154.32,Retail,V1
T00020,2024-12-12,19/12/2024,P1001,Laptop,Electronics,Berlin WH,North America,S04,,920,835,326,451,358.62,9,Air,345528.49,Retail,V1
T00021,2024-04-12,2025-01-01,P1002,Phone,Electronics,Berlin Warehouse,north america,S04,Supplier D,939,802,574,292,1216.02,23,Air,1505180.88,Wholesale,V1
T00022,29/04/2025,2025-05-03,P1013,Sofa,Furniture,Hamburg WH,NA,S07,Supplier G,463,530,778,247,1340.99,5,Sea,1050123.87,Wholesale,V2
T00023,2024-02-25,2024-03-13,P1011,Router,Electronics,Berlin WH,N. America,S02,Supplier B,369,415,618,181,652.12,0,Air,452658.2,Retail,V3
T00024,2025-04-04,2025-04-19,P1003,Tablet,Electronics,Berlin Warehouse,North America,S07,Supplier G,160,181,786,243,197.4,10,Sea,47746.29,Retail,V1
T00025,2025-10-29,25/11/2025,P1009,Keyboard,Electronics,Berlin Warehouse,Europe,S01,Supplier A,483,480,801,197,1060.47,26,Sea,689495.9,Wholesale,V1
T00026,2025-02-14,2025-02-26,P1015,Lamp,Home,Hamburg WH,NA,S01,Supplier A,457,497,281,234,441.56,14,Sea,247067.38,Wholesale,V2
T00027,14/12/2025,2025-12-24,P1012,Camera,Electronics,Berlin Warehouse,North America,S08,Supplier H,744,907,1315,229,432.4,8,Road,680752.4,Retail,V3
T00028,2024-11-17,2024-12-10,P1001,Laptop,Electronics,Munich WH,N. America,S01,Supplier A,-827,831,594,449,1478.76,17,Air,1559949.18,Retail,V1
T00029,2024-11-03,2024-04-10,P1010,Mouse,Electronics,Hamburg WH,North America,S02,Supplier B,570,637,887,495,1097.76,29,Road,949227.03,Retail,V3
T00030,2025-08-31,2025-09-30,P1001,Laptop,Electronics,Munich WH,north america,S02,Supplier B,,868,1048,364,153.63,23,Sea,224657.73,Wholesale,V1
T00031,2025-11-16,2025-11-30,P1012,Camera,Electronics,Berlin Warehouse,NA,S06,Supplier F,637,781,558,272,894.52,10,Sea,1099834.2,Wholesale,V1
T00032,2024-01-10,30/01/2024,P1008,Monitor,Electronics,Munich WH,NA,S02,Supplier B,446,501,608,187,974.86,19,Air,596858.33,Wholesale,V1
T00033,2024-09-07,29/09/2024,P1006,Desk,Furniture,BERLIN WH,north america,S05,Supplier E,691,589,1087,230,223.53,16,Road,176258.25,Retail,V3
T00034,21/07/2025,2025-07-30,P1005,Printer,Electronics,Berlin WH,north america,S02,Supplier B,486,457,839,218,1229.49,10,Air,836432.79,Wholesale,V2
T00035,2025-11-09,2025-12-10,P1004,Headphones,Electronics,BERLIN WH,north america,S06,Supplier F,424,507,746,254,1347.88,23,Sea,1182439.01,Wholesale,V1
T00036,2024-04-04,2024-05-04,P1011,Router,Electronics,BERLIN WH,N. America,S07,Supplier G,307,327,997,291,1094.41,3,Road,618394.77,Wholesale,V1
T00037,2025-03-28,29/03/2025,P1009,Keyboard,Electronics,Berlin WH,N. America,S07,Supplier G,560,530,786,437,144.53,2,Road,92927.62,Retail,V2
T00038,2025-08-19,2025-08-23,P1009,Keyboard,Electronics,BERLIN WH,NA,S03,Supplier C,584,727,,370,170.18,6,Air,193555.25,Wholesale,V1
T00039,2025-11-29,31/12/2025,P1004,Headphones,Electronics,Hamburg WH,north america,S02,Supplier B,1191,1123,818,331,351.92,26,Road,631747.11,Retail,V1
T00040,2024-06-15,2024-06-17,P1013,Sofa,Furniture,BERLIN WH,Europe,S03,Supplier C,449,409,417,361,981.46,2,Road,680183.84,Retail,V2
T00041,2024-06-12,2024-09-07,P1013,Sofa,Furniture,Hamburg WH,N. America,S02,Supplier B,500,598,1174,345,564.22,29,Air,433780.07,Wholesale,V2
T00042,2024-08-11,2024-11-18,P1014,Shelf,Furniture,Berlin Warehouse,Europe,S04,Supplier D,1057,1005,640,264,1196.32,2,Sea,1745556.73,Wholesale,V1
T00043,2024-12-10,15/11/2024,P1006,Desk,Furniture,BERLIN WH,North America,S07,,410,468,1380,497,1089.23,28,Air,660924.1,Wholesale,V1
T00044,17/08/2025,2025-11-09,P1005,Printer,Electronics,BERLIN WH,NA,S01,,613,705,665,205,1411.88,21,Sea,1759574.87,Retail,V2
T00045,2025-08-13,2025-09-10,P1004,Headphones,Electronics,Berlin WH,north america,S05,Supplier E,542,673,878,172,1393.91,24,Road,1313087.69,Retail,V2
T00046,2025-03-17,2025-04-06,P1002,Phone,Electronics,Berlin WH,NA,S06,Supplier F,424,445,894,469,1279.68,12,Road,752734.91,Wholesale,V3
T00047,2025-02-22,2025-03-13,P1006,Desk,Furniture,Berlin Warehouse,Europe,S07,Supplier G,616,525,,301,1050.12,19,Road,826441.79,Wholesale,V3
T00048,27/06/2024,14/07/2024,P1010,Mouse,Electronics,BERLIN WH,NA,S05,Supplier E,630,527,497,357,227.32,19,Air,175243.67,Wholesale,V3
T00049,13/09/2025,2025-04-10,P1011,Router,Electrnics,Berlin Warehouse,north america,S06,Supplier F,800,742,840,388,1059.68,16,Sea,1062773.95,Retail,V3
T00050,27/03/2024,2024-04-25,P1005,Printer,Electronics,BERLIN WH,N. America,S06,Supplier F,683,608,549,197,1303.27,28,Air,1378175.68,Retail,V1
T00051,17/02/2024,2024-03-16,P1004,Headphones,Electronics,Hamburg WH,Europe,S08,Supplier H,627,561,1663,462,981.95,29,Road,876648.03,Retail,V3
T00052,14/12/2025,23/12/2025,P1007,Chair,Furniture,Berlin WH,North America,S08,Supplier H,866,927,744,354,575.86,9,Sea,622323.2,Retail,V1
T00053,2025-12-13,2026-02-01,P1009,Keyboard,Electronics,Berlin WH,Europe,S08,Supplier H,829,841,720,175,823.11,19,Air,900306.88,Wholesale,V3
T00054,27/06/2025,2025-07-24,P1009,Keyboard,Electronics,Hamburg WH,north america,S06,,366,450,720,376,1237.45,0,Sea,752938.89,Retail,V3
T00055,2025-05-01,2025-06-06,P1008,Monitor,Electronics,BERLIN WH,north america,S05,Supplier E,,507,430,276,339.42,28,Sea,264328.02,Retail,V2
T00056,2025-03-26,2025-08-04,P1002,Phone,Electronics,BERLIN WH,north america,S05,Supplier E,829,786,1160,270,1094.62,10,Air,1534125.05,Retail,V1
T00057,2024-08-24,2024-09-01,P1007,Chair,Furniture,Hamburg WH,NA,S03,Supplier C,509,456,746,259,420.83,4,Road,270054.89,Wholesale,V2
T00058,2024-03-04,2024-10-04,P1004,Headphones,Electronics,Berlin WH,north america,S07,Supplier G,353,407,1115,349,251.53,30,Sea,130542.61,Wholesale,V1
T00059,2024-12-26,2025-01-20,P1005,Printer,Electronics,Munich WH,N. America,S07,Supplier G,1182,1111,801,364,434.3,19,Sea,853268.66,Retail,V2
T00060,2025-03-22,2025-04-11,P1008,Monitor,Electronics,Hamburg WH,N. America,S01,,569,545,1112,349,641.01,12,Sea,444866.95,Retail,V3
T00061,2025-06-30,2025-07-28,P1001,Laptop,Electronics,Berlin WH,North America,S07,Supplier G,525,652,523,453,191.79,20,Road,141578.54,Wholesale,V1
T00062,2025-04-17,2025-05-04,P1003,Tablet,Electronics,Berlin Warehouse,Europe,S01,Supplier A,395,471,-20,283,747.59,14,Sea,504027.9,Wholesale,V2
T00063,2024-11-10,2024-11-07,P1013,Sofa,Furniture,Hamburg WH,North America,S07,Supplier G,449,469,388,279,931.46,28,Road,674750.78,Retail,V2
T00064,2024-08-17,2024-08-18,P1011,Router,Electrnics,Berlin Warehouse,N. America,S02,Supplier B,718,684,583,483,764.64,3,Air,888884.32,Retail,V1
T00065,2024-05-09,2024-05-22,P1008,Monitor,Electronics,BERLIN WH,NA,S02,Supplier B,316,382,815,438,970.78,8,Air,414803.74,Retail,V1
T00066,14/11/2024,2024-12-12,P1002,Phone,Electronics,Hamburg WH,Europe,S01,Supplier A,1006,977,731,309,594.49,20,Road,900441.19,Retail,V1
T00067,2025-08-29,2025-09-24,P1012,Camera,Electronics,Munich WH,North America,S04,Supplier D,1123,955,211,202,591.43,24,Road,1001324.05,Retail,V2
T00068,29/06/2025,2025-07-25,P1007,Chair,Furniture,BERLIN WH,North America,S06,Supplier F,,441,751,185,1270.42,18,Sea,625407.5,Wholesale,V1
T00069,19/03/2025,2025-03-04,P1006,Desk,Furniture,Munich WH,NA,S08,Supplier H,363,429,912,228,1051.17,15,Road,694583.22,Wholesale,V2
T00070,22/03/2025,2025-04-21,P1014,Shelf,Furniture,Berlin WH,NA,S05,Supplier E,608,543,845,315,437.41,29,Sea,290766.01,Retail,V2
T00071,2025-06-08,2025-08-13,P1010,Mouse,Electronics,BERLIN WH,N. America,S07,Supplier G,943,789,852,322,630.67,2,Sea,676939.48,Retail,V2
T00072,2024-09-21,2024-10-17,P1006,Desk,Furniture,Munich WH,North America,S05,Supplier E,725,619,990,455,1290.45,24,Road,1118540.27,Retail,V1
T00073,2024-09-04,24/09/2024,P1012,Camera,Electronics,Hamburg WH,Europe,S07,Supplier G,672,799,903,400,1355.78,19,Sea,1574721.73,Retail,V1
T00074,28/10/2024,16/11/2024,P1004,Headphones,Electronics,Munich WH,NA,S07,Supplier G,506,437,937,274,596.02,11,Sea,288482.76,Wholesale,V2
T00075,17/07/2025,29/07/2025,P1006,Desk,Furniture,BERLIN WH,N. America,S06,Supplier F,634,538,667,382,868.69,10,Air,720795.44,Retail,V2
T00076,2024-05-02,2024-05-15,P1012,Camera,Electrnics,BERLIN WH,north america,S03,Supplier C,264,284,588,248,1015.33,8,Road,469054.09,Wholesale,V1
T00077,2024-07-17,2024-07-26,P1005,Printer,Electronics,Berlin WH,north america,S04,Supplier D,480,574,857,334,751.74,7,Air,492034.21,Wholesale,V1
T00078,2024-02-25,2024-03-23,P1009,Keyboard,Electronics,Berlin WH,North America,S05,Supplier E,287,249,1142,214,539.35,22,Road,158733.28,Wholesale,V2
T00079,2025-05-05,2025-10-05,P1008,Monitor,Electronics,Hamburg WH,North America,S06,Supplier F,574,549,559,244,169.66,3,Air,107941.47,Wholesale,V2
T00080,2024-03-16,29/03/2024,P1010,Mouse,Electronics,BERLIN WH,North America,S01,Supplier A,505,448,750,227,1065.24,6,Air,552125.59,Retail,V3
T00081,2025-03-02,2025-03-21,P1010,Mouse,Electronics,Hamburg WH,NA,S04,Supplier D,366,326,348,417,1421.93,14,Road,829846.09,Wholesale,V2
T00082,2025-08-05,29/08/2025,P1010,Mouse,Electronics,Berlin Warehouse,N. America,S01,Supplier A,516,620,1040,462,1170.18,25,Sea,1081652.89,Retail,V1
T00083,2024-02-09,2024-08-09,P1003,Tablet,Electronics,Hamburg WH,north america,S02,Supplier B,677,802,660,230,749.09,2,Sea,665621.85,Wholesale,V1
T00084,25/08/2024,2024-09-06,P1005,Printer,Electronics,Berlin Warehouse,NA,S05,Supplier E,523,618,,382,193.94,4,Road,186308.15,Retail,V2
T00085,2024-04-27,2024-05-05,P1009,Keyboard,Electronics,Berlin Warehouse,North America,S04,Supplier D,665,562,1083,481,574.81,6,Air,419955.69,Retail,V2
T00086,2025-01-09,2025-09-11,P1012,Camera,Electronics,BERLIN WH,Europe,S05,Supplier E,779,658,814,374,37.99,5,Sea,44468.29,Wholesale,V2
T00087,23/03/2024,2024-04-20,P1010,Mouse,Electronics,Munich WH,NA,S01,Supplier A,436,526,703,371,839.7,25,Air,785536.99,Retail,V1
T00088,2025-11-21,21/12/2025,P1014,Shelf,Furniture,Munich WH,North America,S01,,1264,1173,801,494,692.72,28,Air,1250766.88,Wholesale,V3
T00089,2025-10-29,2025-11-22,P1008,Monitor,Electronics,Hamburg WH,North America,S05,Supplier E,494,604,745,242,435.83,20,Sea,464696.75,Wholesale,V2
T00090,2024-12-07,2024-12-23,P1006,Desk,Furniture,Hamburg WH,NA,S02,Supplier B,,886,944,232,430.52,12,Road,469814.74,Wholesale,V3
T00091,2024-02-07,2024-02-20,P1008,Monitor,Electronics,Berlin WH,Europe,S02,Supplier B,253,245,568,311,135.05,10,Road,58964.01,Retail,V3
T00092,2025-07-09,2025-07-23,P1008,Monitor,Electrnics,BERLIN WH,north america,S07,Supplier G,303,270,790,177,1033.4,8,Sea,338680.94,Wholesale,V1
T00093,2024-07-27,2024-08-17,P1005,Printer,Electronics,Berlin WH,North America,S03,Supplier C,400,341,1157,297,1301.77,16,Road,502344.84,Retail,V3
T00094,2024-06-11,2024-06-25,P1005,Printer,Electronics,Berlin Warehouse,North America,S01,Supplier A,,491,629,432,1481.17,15,Sea,876553.87,Retail,V3
T00095,2024-06-06,2024-07-02,P1008,Monitor,Electronics,Hamburg WH,Europe,S05, Supplier A ,349,294,,410,1266.34,24,Sea,628013.52,Retail,V2
T00096,18/07/2025,2025-08-14,P1003,Tablet,Electronics,Berlin Warehouse,North America,S07,Supplier G,186,205,474,247,103.44,21,Sea,36161.35,Wholesale,V2
T00097,2025-03-06,2025-06-30,P1005,Printer,Electronics,Munich WH,north america,S01,Supplier A,553,500,711,294,1418.25,25,Road,1201791.84,Wholesale,V1
T00098,2025-02-04,2025-04-20,P1009,Keyboard,Electronics,Munich WH,Europe,S08,Supplier H,393,462,300,326,1432,12,Sea,1008467.21,Wholesale,V1
T00099,15/12/2025,2026-01-17,P1004,Headphones,Electronics,Berlin WH,NA,S07,Supplier G,1031,985,418,269,550.08,29,Road,639081.82,Wholesale,V3
T00100,2025-01-25,2025-01-28,P1007,Chair,Furniture,Munich WH,north america,S03,Supplier C,586,529,1211,403,789.84,3,Sea,708852.03,Retail,V2
T00101,2024-04-12,2024-07-05,P1009,Keyboard,Electronics,Hamburg WH,N. America,S08,Supplier H,859,747,1138,157,617.15,25,Air,550359.91,Wholesale,V2
T00102,2024-12-12,2024-12-19,P1010,Mouse,Electronics,Munich WH,Europe,S07,,954,1078,919,482,221.83,4,Sea,265480.69,Wholesale,V3
T00103,2024-02-06,2024-07-03,P1010,Mouse,Electronics,BERLIN WH,N. America,S02,Supplier B,599,627,260,270,667.46,22,Road,725218.82,Retail,V2
T00104,2024-10-04,2024-04-19,P1013,Sofa,Furniture,Berlin WH,North America,S02,Supplier B,583,524,157,377,606.88,7,Sea,488284.36,Retail,V2
T00105,2025-01-02,2025-01-17,P1006,Desk,Furniture,Hamburg WH,north america,S07,Supplier G,290,295,686,224,1470.45,9,Road,626743.49,Retail,V1
T00106,2024-06-28,2024-07-22,P1002,Phone,Electronics,Hamburg WH,north america,S07,Supplier G,568,634,339,467,132.28,23,Air,99818.07,Retail,V2
T00107,15/10/2025,2025-11-05,P1005,Printer,Electronics,Hamburg WH,NA,S08,Supplier H,473,543,465,280,531.59,23,Road,498721.4,Retail,V1
T00108,2025-03-28,2025-04-14,P1006,Desk,Furniture,Hamburg WH,NA,S05,Supplier E,648,746,620,477,304.59,15,Air,256446.99,Wholesale,V2
T00109,2024-04-19,2024-05-09,P1004,Headphones,Electronics,BERLIN WH,NA,S07, Supplier A ,379,436,501,442,151.28,13,Air,78123.73,Wholesale,V2
T00110,2024-01-09,2024-08-02,P1010,Mouse,Electronics,BERLIN WH,N. America,S01,Supplier A,309,327,652,460,765.06,25,Road,396095.57,Wholesale,V1
T00111,13/10/2025,16/11/2025,P1004,Headphones,Electronics,Berlin Warehouse,North America,S05,Supplier E,478,416,753,497,1382.89,26,Road,657406.41,Retail,V2
T00112,2025-03-27,2025-04-02,P1001,Laptop,Electronics,BERLIN WH,Europe,S06,Supplier F,661,602,544,217,293.09,4,Air,219940.54,Retail,V1
T00113,2025-07-06,26/07/2025,P1015,Lamp,Home,Berlin Warehouse,NA,S06,Supplier F,488,466,124,421,565.99,18,Sea,375522.38,Wholesale,V3
T00114,2024-12-12,2024-12-16,P1013,Sofa,Furniture,Berlin Warehouse,Europe,S02,Supplier B,1160,1002,453,389,777.28,4,Road,1146817.88,Wholesale,V1
T00115,2025-08-02,2025-02-18,P1001,Laptop,Electronics,BERLIN WH,NA,S05,Supplier E,490,484,461,424,378.86,5,Road,236264.52,Wholesale,V3
T00116,2025-01-15,2025-01-24,P1002,Phone,Electronics,Munich WH,NA,S04,Supplier D,443,477,688,391,332.94,2,Road,211101.06,Retail,V3
T00117,2024-05-03,2024-03-31,P1011,Router,Electronics,Berlin WH,N. America,S08,Supplier H,783,702,920,304,757.69,22,Air,617451.15,Retail,V2
T00118,19/05/2025,24/06/2025,P1002,Phone,Electronics,Berlin Warehouse,Europe,S02,Supplier B,860,784,953,270,658.86,30,Sea,614331.65,Wholesale,V3
T00119,14/12/2025,2026-08-01,P1009,Keyboard,Electronics,Hamburg WH,North America,S07,Supplier G,840,794,354,450,864.75,25,Sea,926422.72,Wholesale,V2
T00120,2024-03-02,2024-02-24,P1012,Camera,Electronics,Berlin Warehouse,NA,S06,Supplier F,450,503,731,261,170.64,16,Air,103599.25,Wholesale,V3
T00121,2025-10-22,2025-11-02,P1006,Desk,Furniture,Berlin WH,Europe,S01,Supplier A,368,421,578,353,441.94,10,Air,227242.54,Retail,V3
T00122,2025-10-16,2025-11-15,P1010,Mouse,Electronics,Berlin Warehouse,N. America,S01,Supplier A,237,199,871,175,185.82,27,Road,50974.38,Retail,V1
T00123,21/07/2025,2025-08-02,P1004,Headphones,Electronics,Munich WH,North America,S04,Supplier D,373,430,888,269,1009.59,12,Sea,759960.97,Retail,V1
T00124,2025-07-07,2025-07-28,P1005,Printer,Electronics,Berlin Warehouse,North America,S03,Supplier C,679,745,,206,1158.85,23,Sea,1062715.65,Retail,V3
T00125,2024-11-27,2024-11-30,P1001,Laptop,Electronics,Hamburg WH,north america,S03,Supplier C,810,808,,285,378.77,3,Air,361252.53,Retail,V2
T00126,2025-04-04,23/04/2025,P1013,Sofa,Furniture,Hamburg WH,north america,S06,Supplier F,327,317,899,412,248.46,20,Air,113164.83,Retail,V3
T00127,2025-05-11,25/11/2025,P1009,Keyboard,Electronics,Berlin WH,Europe,S05,Supplier E,767,821,711,384,218.93,22,Sea,205689.46,Wholesale,V3
T00128,2024-04-20,19/05/2024,P1008,Monitor,Electronics,BERLIN WH,north america,S08,Supplier H,458,427,890,187,1145.14,30,Air,741748.88,Retail,V1
T00129,2024-10-08,2024-04-11,P1010,Mouse,Electronics,BERLIN WH,Europe,S06,Supplier F,190,203,500,345,1395.7,21,Road,476395.7,Wholesale,V1
T00130,2025-12-19,2026-05-01,P1002,Phone,Electronics,Hamburg WH,NA,S04,Supplier D,802,920,722,370,118.41,16,Sea,176345.85,Wholesale,V2
T00131,2024-04-07,2024-02-05,P1006,Desk,Furniture,BERLIN WH,N. America,S07,Supplier G,547,640,763,310,1197,23,Road,950811.86,Wholesale,V1
T00132,2024-04-03,17/04/2024,P1014,Shelf,Furniture,BERLIN WH,N. America,S02,Supplier B,519,461,620,197,1004.49,15,Road,678927.97,Retail,V3
T00133,2025-07-29,2025-08-07,P1009,Keyboard,Electronics,BERLIN WH,Europe,S06,Supplier F,578,604,618,493,1228.57,5,Road,1044365.88,Retail,V2
T00134,2025-09-06,2025-02-10,P1005,Printer,Electronics,Berlin Warehouse,N. America,S06,Supplier F,568,618,142,203,1126.46,20,Road,1010746.47,Wholesale,V1
T00135,20/04/2024,2024-05-18,P1006,Desk,Furniture,Munich WH,N. America,S06,Supplier F,513,539,645,208,824.46,26,Sea,770797.49,Retail,V3
T00136,2025-11-04,13/11/2025,P1014,Shelf,Furniture,BERLIN WH,NA,S05,Supplier E,932,793,771,164,949.01,7,Sea,1004248.18,Retail,V1
T00137,2024-05-26,2024-06-09,P1010,Mouse,Electronics,Berlin WH,North America,S07,Supplier G,565,540,596,185,809.52,6,Road,754384.72,Retail,V2
T00138,2025-03-05,2025-03-20,P1008,Monitor,Electronics,BERLIN WH,north america,S06,Supplier F,407,441,800,230,387.76,13,Road,277153.87,Retail,V1
T00139,2024-06-08,2024-06-14,P1003,Tablet,Electronics,Hamburg WH,Europe,S01,Supplier A,561,508,580,495,1317.61,4,Sea,896560.17,Wholesale,V2
T00140,2024-06-10,2024-10-20,P1004,Headphones,Electronics,BERLIN WH,north america,S02,Supplier B,562,654,588,326,359.29,15,Sea,377271.47,Wholesale,V1
T00141,2024-08-13,2024-08-23,P1007,Chair,Furniture,Berlin Warehouse,N. America,S01,Supplier A,866,804,1038,153,823.23,8,Sea,844726.6,Wholesale,V2
T00142,2024-05-02,2024-05-09,P1001,Laptop,Electronics,Hamburg WH,north america,S08,,432,372,571,370,883.42,7,Road,453708.35,Retail,V3
T00143,2025-07-26,2025-08-07,P1014,Shelf,Furniture,Hamburg WH,North America,S06,Supplier F,497,578,686,186,887.62,14,Sea,746029.13,Retail,V2
T00144,2025-12-08,2025-08-29,P1007,Chair,Furniture,Berlin WH,Europe,S07,Supplier G,775,675,711,477,1399.54,15,Air,1412871.22,Wholesale,V1
T00145,2025-09-24,2025-10-08,P1008,Monitor,Electronics,Berlin Warehouse,Europe,S06,Supplier F,819,757,755,195,245.76,15,Road,279693.36,Wholesale,V3
T00146,21/03/2024,2024-04-02,P1007,Chair,Furniture,Berlin Warehouse,North America,S05,,371,339,1171,323,1402.86,9,Road,831247.03,Retail,V3
T00147,2025-06-06,2025-09-07,P1004,Headphones,Electronics,Berlin Warehouse,N. America,S06,Supplier F,454,381,668,329,1261.57,25,Air,570668.08,Retail,V2
T00148,2024-07-21,2024-07-25,P1003,Tablet,Electronics,Hamburg WH,Europe,S03,Supplier C,771,804,,485,101.05,4,Road,108431.6,Wholesale,V3
T00149,2025-08-01,13/08/2025,P1011,Router,Electronics,Hamburg WH,North America,S06,Supplier F,586,578,286,471,1381.39,12,Sea,1071864.14,Wholesale,V3
T00150,2024-11-06,2024-12-11,P1013,Sofa,Furniture,Munich WH,North America,S05,Supplier E,1031,1052,-20,452,352.42,3,Sea,525238.47,Wholesale,V2
T00151,2024-08-02,20/02/2024,P1001,Laptop,Electronics,Berlin WH,north america,S06,Supplier F,469,470,631,296,640.01,4,Road,523518.13,Wholesale,V2
T00152,2025-08-17,2025-09-20,P1009,Keyboard,Electronics,Berlin Warehouse,NA,S01,Supplier A,872,829,238,380,39.38,27,Road,51073.92,Wholesale,V3
T00153,2024-06-03,2024-07-03,P1001,Laptop,Electronics,Berlin WH,north america,S08,Supplier H,389,467,423,202,1495.37,27,Road,1013662.8,Retail,V1
T00154,2024-09-10,2024-10-04,P1012,Camera,Electronics,Munich WH,N. America,S08,Supplier H,679,618,-20,374,330.66,18,Sea,353243.51,Wholesale,V2
T00155,2025-01-31,2025-02-19,P1007,Chair,Furniture,BERLIN WH,North America,S06,Supplier F,351,431,563,497,718.66,21,Sea,463185.4,Retail,V3
T00156,2025-11-25,2025-12-28,P1007,Chair,Furniture,Munich WH,N. America,S05,Supplier E,1040,1066,35,279,613.13,25,Sea,975001.54,Retail,V3
T00157,2025-10-11,2025-12-10,P1003,Tablet,Electronics,Hamburg WH,N. America,S06,,982,858,607,308,1420.25,22,Road,1658865.6,Retail,V2
T00158,26/07/2025,2025-08-26,P1007,Chair,Furniture,Munich WH,North America,S06,Supplier F,-577,599,368,215,57.57,23,Road,41702.26,Wholesale,V3
T00159,2025-01-05,2025-01-13,P1001,Laptop,Electronics,BERLIN WH,Europe,S06,Supplier F,496,612,,308,348.52,7,Air,269124.51,Retail,V1
T00160,2024-06-07,2024-07-01,P1002,Phone,Electronics,Munich WH,North America,S05,Supplier E,445,511,667,201,986.06,18,Road,638274.65,Wholesale,V3
T00161,2024-05-14,2024-05-21,P1010,Mouse,Electronics,Munich WH,N. America,S07,Supplier G,512,471,606,228,1286.43,7,Road,1018625.49,Wholesale,V1
T00162,2025-02-24,2025-03-19,P1006,Desk,Furniture,Hamburg WH,N. America,S04,Supplier D,614,697,448,377,453.86,21,Road,546457.54,Retail,V2
T00163,2025-04-25,2025-05-25,P1015,Lamp,Home,Hamburg WH,Europe,S04,Supplier D,522,539,387,338,1341.15,23,Sea,1208807.27,Wholesale,V3
T00164,2025-06-24,2025-07-28,P1007,Chair,Furniture,Berlin Warehouse,NA,S03,Supplier C,334,351,-20,252,893.64,27,Air,403892.43,Wholesale,V2
T00165,2025-07-21,2025-08-18,P1015,Lamp,Home,BERLIN WH,North America,S02,Supplier B,353,346,1138,414,665.47,29,Air,300738.94,Wholesale,V2
T00166,2025-06-09,2025-06-23,P1003,Tablet,Electronics,BERLIN WH,North America,S07,Supplier G,689,616,692,196,649.32,9,Sea,446270.34,Retail,V2
